n_programs,n_applicants,spots_per_program,interviews_per_spot,simulations_per_s,max_applications,study_min_signal,study_max_signal,result_file_prefix
155,4639,26,9,20,31,3,28,heatmap_np155_pos4117_sppcalc26_na4639_ips9_ma31
41,9493,24,13,20,31,3,28,heatmap_np41_pos1012_sppcalc24_na9493_ips13_ma31
215,8243,3,18,20,55,3,40,heatmap_np215_pos779_sppcalc3_na8243_ips18_ma55
245,2034,11,7,20,25,3,22,heatmap_np245_pos2923_sppcalc11_na2034_ips7_ma25
221,2043,16,6,20,42,3,39,heatmap_np221_pos3557_sppcalc16_na2043_ips6_ma42
119,191,15,7,20,70,3,40,heatmap_np119_pos1791_sppcalc15_na191_ips7_ma70
300,9942,8,8,20,58,3,40,heatmap_np300_pos2650_sppcalc8_na9942_ips8_ma58
173,3509,6,14,20,6,3,3,heatmap_np173_pos1163_sppcalc6_na3509_ips14_ma6
368,3883,6,14,20,55,3,40,heatmap_np368_pos2437_sppcalc6_na3883_ips14_ma55
165,2352,2,5,20,37,3,34,heatmap_np165_pos428_sppcalc2_na2352_ips5_ma37
281,2692,16,19,20,42,3,39,heatmap_np281_pos4630_sppcalc16_na2692_ips19_ma42
219,5372,13,10,20,75,3,40,heatmap_np219_pos3051_sppcalc13_na5372_ips10_ma75
238,4329,5,20,20,71,3,40,heatmap_np238_pos1331_sppcalc5_na4329_ips20_ma71
180,9239,7,14,20,11,3,8,heatmap_np180_pos1404_sppcalc7_na9239_ips14_ma11
245,3391,2,5,20,9,3,6,heatmap_np245_pos674_sppcalc2_na3391_ips5_ma9
23,1129,83,5,20,8,3,5,heatmap_np23_pos1919_sppcalc83_na1129_ips5_ma8
387,9492,6,14,20,56,3,40,heatmap_np387_pos2478_sppcalc6_na9492_ips14_ma56
288,4853,8,12,20,73,3,40,heatmap_np288_pos2572_sppcalc8_na4853_ips12_ma73
44,2948,65,13,20,40,3,37,heatmap_np44_pos2903_sppcalc65_na2948_ips13_ma40
186,5894,20,10,20,12,3,9,heatmap_np186_pos3897_sppcalc20_na5894_ips10_ma12
226,4755,7,19,20,46,3,40,heatmap_np226_pos1606_sppcalc7_na4755_ips19_ma46
355,9590,10,12,20,18,3,15,heatmap_np355_pos3789_sppcalc10_na9590_ips12_ma18
226,3148,1,12,20,20,3,17,heatmap_np226_pos423_sppcalc1_na3148_ips12_ma20
80,268,59,6,20,9,3,6,heatmap_np80_pos4751_sppcalc59_na268_ips6_ma9
316,6661,6,14,20,70,3,40,heatmap_np316_pos2159_sppcalc6_na6661_ips14_ma70
353,4525,13,5,20,56,3,40,heatmap_np353_pos4765_sppcalc13_na4525_ips5_ma56
21,2275,217,20,20,8,3,5,heatmap_np21_pos4560_sppcalc217_na2275_ips20_ma8
265,427,2,14,20,68,3,40,heatmap_np265_pos759_sppcalc2_na427_ips14_ma68
197,4741,24,16,20,9,3,6,heatmap_np197_pos4771_sppcalc24_na4741_ips16_ma9
235,970,16,5,20,46,3,40,heatmap_np235_pos3934_sppcalc16_na970_ips5_ma46
331,6668,5,17,20,23,3,20,heatmap_np331_pos1734_sppcalc5_na6668_ips17_ma23
352,3318,11,13,20,70,3,40,heatmap_np352_pos3898_sppcalc11_na3318_ips13_ma70
91,8120,27,11,20,58,3,40,heatmap_np91_pos2492_sppcalc27_na8120_ips11_ma58
56,6635,23,5,20,53,3,40,heatmap_np56_pos1340_sppcalc23_na6635_ips5_ma53
288,6864,16,8,20,67,3,40,heatmap_np288_pos4893_sppcalc16_na6864_ips8_ma67
350,8122,10,11,20,7,3,4,heatmap_np350_pos3804_sppcalc10_na8122_ips11_ma7
239,4180,4,14,20,30,3,27,heatmap_np239_pos965_sppcalc4_na4180_ips14_ma30
55,8281,60,19,20,30,3,27,heatmap_np55_pos3344_sppcalc60_na8281_ips19_ma30
83,9894,17,16,20,16,3,13,heatmap_np83_pos1451_sppcalc17_na9894_ips16_ma16
388,2013,4,7,20,52,3,40,heatmap_np388_pos1705_sppcalc4_na2013_ips7_ma52
89,1460,15,20,20,23,3,20,heatmap_np89_pos1374_sppcalc15_na1460_ips20_ma23
32,6420,89,17,20,26,3,23,heatmap_np32_pos2877_sppcalc89_na6420_ips17_ma26
79,3512,20,19,20,61,3,40,heatmap_np79_pos1610_sppcalc20_na3512_ips19_ma61
310,9933,3,14,20,65,3,40,heatmap_np310_pos1206_sppcalc3_na9933_ips14_ma65
280,9910,13,9,20,73,3,40,heatmap_np280_pos3907_sppcalc13_na9910_ips9_ma73
183,6568,1,18,20,43,3,40,heatmap_np183_pos206_sppcalc1_na6568_ips18_ma43
204,6459,1,13,20,11,3,8,heatmap_np204_pos294_sppcalc1_na6459_ips13_ma11
148,4516,19,10,20,50,3,40,heatmap_np148_pos2830_sppcalc19_na4516_ips10_ma50
338,1647,6,9,20,29,3,26,heatmap_np338_pos2088_sppcalc6_na1647_ips9_ma29
133,9601,18,12,20,17,3,14,heatmap_np133_pos2489_sppcalc18_na9601_ips12_ma17
377,8352,6,18,20,20,3,17,heatmap_np377_pos2320_sppcalc6_na8352_ips18_ma20
233,487,2,10,20,15,3,12,heatmap_np233_pos497_sppcalc2_na487_ips10_ma15
22,6948,42,20,20,8,3,5,heatmap_np22_pos937_sppcalc42_na6948_ips20_ma8
165,5413,4,8,20,30,3,27,heatmap_np165_pos672_sppcalc4_na5413_ips8_ma30
313,8769,11,5,20,9,3,6,heatmap_np313_pos3700_sppcalc11_na8769_ips5_ma9
83,1317,46,15,20,61,3,40,heatmap_np83_pos3829_sppcalc46_na1317_ips15_ma61
194,3394,2,8,20,42,3,39,heatmap_np194_pos423_sppcalc2_na3394_ips8_ma42
136,4841,25,16,20,65,3,40,heatmap_np136_pos3535_sppcalc25_na4841_ips16_ma65
35,1540,67,17,20,24,3,21,heatmap_np35_pos2348_sppcalc67_na1540_ips17_ma24
210,2789,12,9,20,45,3,40,heatmap_np210_pos2626_sppcalc12_na2789_ips9_ma45
322,6241,12,9,20,35,3,32,heatmap_np322_pos4065_sppcalc12_na6241_ips9_ma35
176,5675,5,12,20,68,3,40,heatmap_np176_pos1027_sppcalc5_na5675_ips12_ma68
132,2242,13,8,20,72,3,40,heatmap_np132_pos1822_sppcalc13_na2242_ips8_ma72
94,8483,32,14,20,71,3,40,heatmap_np94_pos3058_sppcalc32_na8483_ips14_ma71
285,9465,1,13,20,68,3,40,heatmap_np285_pos333_sppcalc1_na9465_ips13_ma68
365,3132,7,6,20,44,3,40,heatmap_np365_pos2873_sppcalc7_na3132_ips6_ma44
366,5499,9,13,20,35,3,32,heatmap_np366_pos3323_sppcalc9_na5499_ips13_ma35
287,8158,1,13,20,35,3,32,heatmap_np287_pos161_sppcalc1_na8158_ips13_ma35
135,7269,28,6,20,23,3,20,heatmap_np135_pos3847_sppcalc28_na7269_ips6_ma23
107,3842,41,9,20,20,3,17,heatmap_np107_pos4425_sppcalc41_na3842_ips9_ma20
217,8011,1,10,20,75,3,40,heatmap_np217_pos128_sppcalc1_na8011_ips10_ma75
26,1441,187,15,20,26,3,23,heatmap_np26_pos4879_sppcalc187_na1441_ips15_ma26
334,3746,2,12,20,60,3,40,heatmap_np334_pos938_sppcalc2_na3746_ips12_ma60
108,5774,10,7,20,71,3,40,heatmap_np108_pos1157_sppcalc10_na5774_ips7_ma71
53,507,12,5,20,49,3,40,heatmap_np53_pos654_sppcalc12_na507_ips5_ma49
280,7971,4,15,20,58,3,40,heatmap_np280_pos1201_sppcalc4_na7971_ips15_ma58
154,3318,11,9,20,16,3,13,heatmap_np154_pos1800_sppcalc11_na3318_ips9_ma16
285,4000,13,18,20,22,3,19,heatmap_np285_pos3706_sppcalc13_na4000_ips18_ma22
360,9055,5,17,20,9,3,6,heatmap_np360_pos2132_sppcalc5_na9055_ips17_ma9
27,6392,55,10,20,9,3,6,heatmap_np27_pos1503_sppcalc55_na6392_ips10_ma9
213,3867,6,11,20,55,3,40,heatmap_np213_pos1436_sppcalc6_na3867_ips11_ma55
35,9847,133,19,20,19,3,16,heatmap_np35_pos4666_sppcalc133_na9847_ips19_ma19
255,3770,6,9,20,53,3,40,heatmap_np255_pos1649_sppcalc6_na3770_ips9_ma53
72,6956,4,8,20,48,3,40,heatmap_np72_pos324_sppcalc4_na6956_ips8_ma48
341,2805,6,8,20,26,3,23,heatmap_np341_pos2194_sppcalc6_na2805_ips8_ma26
222,4982,16,17,20,36,3,33,heatmap_np222_pos3755_sppcalc16_na4982_ips17_ma36
204,7691,16,11,20,7,3,4,heatmap_np204_pos3420_sppcalc16_na7691_ips11_ma7
205,5385,18,13,20,35,3,32,heatmap_np205_pos3841_sppcalc18_na5385_ips13_ma35
314,4374,1,11,20,52,3,40,heatmap_np314_pos176_sppcalc1_na4374_ips11_ma52
79,5227,60,14,20,15,3,12,heatmap_np79_pos4760_sppcalc60_na5227_ips14_ma15
133,1596,10,18,20,70,3,40,heatmap_np133_pos1407_sppcalc10_na1596_ips18_ma70
138,4284,7,20,20,20,3,17,heatmap_np138_pos1042_sppcalc7_na4284_ips20_ma20
107,3649,28,12,20,34,3,31,heatmap_np107_pos3047_sppcalc28_na3649_ips12_ma34
282,2066,7,19,20,73,3,40,heatmap_np282_pos2052_sppcalc7_na2066_ips19_ma73
219,827,3,9,20,37,3,34,heatmap_np219_pos835_sppcalc3_na827_ips9_ma37
62,9884,19,6,20,62,3,40,heatmap_np62_pos1209_sppcalc19_na9884_ips6_ma62
348,4785,1,18,20,26,3,23,heatmap_np348_pos263_sppcalc1_na4785_ips18_ma26
274,7569,16,5,20,43,3,40,heatmap_np274_pos4559_sppcalc16_na7569_ips5_ma43
55,3810,16,11,20,29,3,26,heatmap_np55_pos885_sppcalc16_na3810_ips11_ma29
230,3926,13,8,20,27,3,24,heatmap_np230_pos3138_sppcalc13_na3926_ips8_ma27
285,2068,13,19,20,41,3,38,heatmap_np285_pos3709_sppcalc13_na2068_ips19_ma41
61,9122,62,13,20,6,3,3,heatmap_np61_pos3821_sppcalc62_na9122_ips13_ma6
120,284,33,16,20,24,3,21,heatmap_np120_pos4032_sppcalc33_na284_ips16_ma24
214,2006,3,11,20,13,3,10,heatmap_np214_pos686_sppcalc3_na2006_ips11_ma13
49,8474,2,15,20,12,3,9,heatmap_np49_pos112_sppcalc2_na8474_ips15_ma12
398,3622,9,12,20,73,3,40,heatmap_np398_pos3824_sppcalc9_na3622_ips12_ma73
119,6687,20,9,20,59,3,40,heatmap_np119_pos2403_sppcalc20_na6687_ips9_ma59
392,266,8,19,20,41,3,38,heatmap_np392_pos3176_sppcalc8_na266_ips19_ma41
17,7340,138,5,20,13,3,10,heatmap_np17_pos2352_sppcalc138_na7340_ips5_ma13
44,8689,85,15,20,37,3,34,heatmap_np44_pos3742_sppcalc85_na8689_ips15_ma37
59,7876,53,14,20,10,3,7,heatmap_np59_pos3168_sppcalc53_na7876_ips14_ma10
278,5293,14,18,20,66,3,40,heatmap_np278_pos4148_sppcalc14_na5293_ips18_ma66
397,6149,6,11,20,46,3,40,heatmap_np397_pos2775_sppcalc6_na6149_ips11_ma46
152,8877,29,17,20,75,3,40,heatmap_np152_pos4418_sppcalc29_na8877_ips17_ma75
313,8237,4,19,20,18,3,15,heatmap_np313_pos1428_sppcalc4_na8237_ips19_ma18
228,2750,20,17,20,38,3,35,heatmap_np228_pos4668_sppcalc20_na2750_ips17_ma38
208,5975,23,6,20,7,3,4,heatmap_np208_pos4790_sppcalc23_na5975_ips6_ma7
62,8658,16,5,20,28,3,25,heatmap_np62_pos1046_sppcalc16_na8658_ips5_ma28
399,5198,1,12,20,45,3,40,heatmap_np399_pos283_sppcalc1_na5198_ips12_ma45
141,8644,14,8,20,40,3,37,heatmap_np141_pos2072_sppcalc14_na8644_ips8_ma40
233,9246,7,20,20,22,3,19,heatmap_np233_pos1837_sppcalc7_na9246_ips20_ma22
68,9528,27,5,20,39,3,36,heatmap_np68_pos1851_sppcalc27_na9528_ips5_ma39
19,9342,246,16,20,8,3,5,heatmap_np19_pos4688_sppcalc246_na9342_ips16_ma8
278,5310,4,14,20,15,3,12,heatmap_np278_pos1364_sppcalc4_na5310_ips14_ma15
86,89,30,7,20,50,3,40,heatmap_np86_pos2619_sppcalc30_na89_ips7_ma50
164,3754,13,20,20,25,3,22,heatmap_np164_pos2183_sppcalc13_na3754_ips20_ma25
270,7024,1,13,20,47,3,40,heatmap_np270_pos24_sppcalc1_na7024_ips13_ma47
302,1268,3,18,20,50,3,40,heatmap_np302_pos1113_sppcalc3_na1268_ips18_ma50
135,4605,21,14,20,43,3,40,heatmap_np135_pos2842_sppcalc21_na4605_ips14_ma43
82,394,22,5,20,68,3,40,heatmap_np82_pos1842_sppcalc22_na394_ips5_ma68
146,8946,15,16,20,13,3,10,heatmap_np146_pos2191_sppcalc15_na8946_ips16_ma13
36,5651,110,11,20,19,3,16,heatmap_np36_pos3991_sppcalc110_na5651_ips11_ma19
282,5771,8,11,20,17,3,14,heatmap_np282_pos2354_sppcalc8_na5771_ips11_ma17
199,6916,11,6,20,19,3,16,heatmap_np199_pos2235_sppcalc11_na6916_ips6_ma19
339,7292,9,15,20,17,3,14,heatmap_np339_pos3351_sppcalc9_na7292_ips15_ma17
385,6497,1,7,20,14,3,11,heatmap_np385_pos107_sppcalc1_na6497_ips7_ma14
130,7885,25,20,20,58,3,40,heatmap_np130_pos3272_sppcalc25_na7885_ips20_ma58
289,1743,11,16,20,16,3,13,heatmap_np289_pos3371_sppcalc11_na1743_ips16_ma16
156,1055,30,18,20,71,3,40,heatmap_np156_pos4814_sppcalc30_na1055_ips18_ma71
283,2024,14,15,20,58,3,40,heatmap_np283_pos4169_sppcalc14_na2024_ips15_ma58
272,476,15,20,20,28,3,25,heatmap_np272_pos4146_sppcalc15_na476_ips20_ma28
195,3173,9,17,20,39,3,36,heatmap_np195_pos1797_sppcalc9_na3173_ips17_ma39
238,4828,11,20,20,65,3,40,heatmap_np238_pos2758_sppcalc11_na4828_ips20_ma65
301,9223,7,16,20,75,3,40,heatmap_np301_pos2381_sppcalc7_na9223_ips16_ma75
336,6734,8,7,20,22,3,19,heatmap_np336_pos2915_sppcalc8_na6734_ips7_ma22
338,7301,1,5,20,72,3,40,heatmap_np338_pos326_sppcalc1_na7301_ips5_ma72
20,7640,23,12,20,16,3,13,heatmap_np20_pos470_sppcalc23_na7640_ips12_ma16
219,7811,13,15,20,46,3,40,heatmap_np219_pos3061_sppcalc13_na7811_ips15_ma46
162,7971,7,18,20,20,3,17,heatmap_np162_pos1237_sppcalc7_na7971_ips18_ma20
93,3523,40,5,20,12,3,9,heatmap_np93_pos3746_sppcalc40_na3523_ips5_ma12
70,3089,54,15,20,20,3,17,heatmap_np70_pos3840_sppcalc54_na3089_ips15_ma20
79,4259,42,9,20,9,3,6,heatmap_np79_pos3347_sppcalc42_na4259_ips9_ma9
118,2514,32,6,20,32,3,29,heatmap_np118_pos3813_sppcalc32_na2514_ips6_ma32
309,7316,1,19,20,12,3,9,heatmap_np309_pos130_sppcalc1_na7316_ips19_ma12
137,5680,19,7,20,57,3,40,heatmap_np137_pos2697_sppcalc19_na5680_ips7_ma57
237,1401,7,14,20,45,3,40,heatmap_np237_pos1757_sppcalc7_na1401_ips14_ma45
266,4021,16,7,20,72,3,40,heatmap_np266_pos4460_sppcalc16_na4021_ips7_ma72
166,4725,15,13,20,10,3,7,heatmap_np166_pos2558_sppcalc15_na4725_ips13_ma10
179,8689,5,19,20,43,3,40,heatmap_np179_pos984_sppcalc5_na8689_ips19_ma43
92,3108,26,16,20,22,3,19,heatmap_np92_pos2418_sppcalc26_na3108_ips16_ma22
206,3019,17,14,20,24,3,21,heatmap_np206_pos3600_sppcalc17_na3019_ips14_ma24
66,3325,29,17,20,65,3,40,heatmap_np66_pos1976_sppcalc29_na3325_ips17_ma65
124,4846,15,18,20,69,3,40,heatmap_np124_pos1875_sppcalc15_na4846_ips18_ma69
52,9336,94,8,20,21,3,18,heatmap_np52_pos4897_sppcalc94_na9336_ips8_ma21
26,6242,117,15,20,7,3,4,heatmap_np26_pos3042_sppcalc117_na6242_ips15_ma7
185,5359,20,16,20,27,3,24,heatmap_np185_pos3839_sppcalc20_na5359_ips16_ma27
152,1316,1,18,20,41,3,38,heatmap_np152_pos272_sppcalc1_na1316_ips18_ma41
43,6174,112,10,20,38,3,35,heatmap_np43_pos4851_sppcalc112_na6174_ips10_ma38
82,1393,23,10,20,44,3,40,heatmap_np82_pos1932_sppcalc23_na1393_ips10_ma44
107,7111,6,15,20,54,3,40,heatmap_np107_pos657_sppcalc6_na7111_ips15_ma54
70,3420,33,6,20,59,3,40,heatmap_np70_pos2315_sppcalc33_na3420_ips6_ma59
103,2974,8,20,20,29,3,26,heatmap_np103_pos891_sppcalc8_na2974_ips20_ma29
378,7370,4,11,20,65,3,40,heatmap_np378_pos1734_sppcalc4_na7370_ips11_ma65
318,470,9,17,20,47,3,40,heatmap_np318_pos3083_sppcalc9_na470_ips17_ma47
238,4007,13,9,20,43,3,40,heatmap_np238_pos3221_sppcalc13_na4007_ips9_ma43
43,3875,54,9,20,19,3,16,heatmap_np43_pos2346_sppcalc54_na3875_ips9_ma19
22,3131,172,15,20,20,3,17,heatmap_np22_pos3790_sppcalc172_na3131_ips15_ma20
281,5250,6,20,20,68,3,40,heatmap_np281_pos1869_sppcalc6_na5250_ips20_ma68
284,8371,3,14,20,10,3,7,heatmap_np284_pos880_sppcalc3_na8371_ips14_ma10
137,7843,18,11,20,35,3,32,heatmap_np137_pos2466_sppcalc18_na7843_ips11_ma35
180,2871,20,13,20,57,3,40,heatmap_np180_pos3706_sppcalc20_na2871_ips13_ma57
309,5501,15,14,20,55,3,40,heatmap_np309_pos4698_sppcalc15_na5501_ips14_ma55
29,9672,131,13,20,16,3,13,heatmap_np29_pos3802_sppcalc131_na9672_ips13_ma16
273,5003,9,18,20,75,3,40,heatmap_np273_pos2644_sppcalc9_na5003_ips18_ma75
24,4386,93,10,20,20,3,17,heatmap_np24_pos2235_sppcalc93_na4386_ips10_ma20
269,5249,17,20,20,29,3,26,heatmap_np269_pos4646_sppcalc17_na5249_ips20_ma29
61,9902,29,7,20,28,3,25,heatmap_np61_pos1803_sppcalc29_na9902_ips7_ma28
70,6005,48,20,20,63,3,40,heatmap_np70_pos3400_sppcalc48_na6005_ips20_ma63
240,9183,14,19,20,73,3,40,heatmap_np240_pos3582_sppcalc14_na9183_ips19_ma73
243,5697,7,11,20,24,3,21,heatmap_np243_pos1732_sppcalc7_na5697_ips11_ma24
160,9759,12,11,20,20,3,17,heatmap_np160_pos1934_sppcalc12_na9759_ips11_ma20
247,4021,2,6,20,21,3,18,heatmap_np247_pos564_sppcalc2_na4021_ips6_ma21
277,2574,18,12,20,7,3,4,heatmap_np277_pos4997_sppcalc18_na2574_ips12_ma7
400,5729,6,16,20,56,3,40,heatmap_np400_pos2699_sppcalc6_na5729_ips16_ma56
312,711,7,14,20,62,3,40,heatmap_np312_pos2396_sppcalc7_na711_ips14_ma62
40,6419,22,18,20,38,3,35,heatmap_np40_pos883_sppcalc22_na6419_ips18_ma38
399,4635,2,14,20,28,3,25,heatmap_np399_pos881_sppcalc2_na4635_ips14_ma28
323,2481,13,17,20,63,3,40,heatmap_np323_pos4393_sppcalc13_na2481_ips17_ma63
399,938,1,10,20,48,3,40,heatmap_np399_pos419_sppcalc1_na938_ips10_ma48
49,7022,98,6,20,18,3,15,heatmap_np49_pos4838_sppcalc98_na7022_ips6_ma18
155,3215,14,14,20,22,3,19,heatmap_np155_pos2240_sppcalc14_na3215_ips14_ma22
338,4462,9,13,20,30,3,27,heatmap_np338_pos3153_sppcalc9_na4462_ips13_ma30
90,6650,49,6,20,60,3,40,heatmap_np90_pos4497_sppcalc49_na6650_ips6_ma60
117,3393,7,8,20,61,3,40,heatmap_np117_pos845_sppcalc7_na3393_ips8_ma61
393,5978,1,18,20,46,3,40,heatmap_np393_pos451_sppcalc1_na5978_ips18_ma46
162,9194,11,19,20,23,3,20,heatmap_np162_pos1876_sppcalc11_na9194_ips19_ma23
190,2065,1,10,20,23,3,20,heatmap_np190_pos304_sppcalc1_na2065_ips10_ma23
344,2646,12,18,20,58,3,40,heatmap_np344_pos4418_sppcalc12_na2646_ips18_ma58
10,2836,380,11,20,10,3,7,heatmap_np10_pos3801_sppcalc380_na2836_ips11_ma10
17,6256,277,18,20,14,3,11,heatmap_np17_pos4717_sppcalc277_na6256_ips18_ma14
196,4175,1,13,20,16,3,13,heatmap_np196_pos17_sppcalc1_na4175_ips13_ma16
331,7392,1,20,20,67,3,40,heatmap_np331_pos151_sppcalc1_na7392_ips20_ma67
210,2954,15,14,20,13,3,10,heatmap_np210_pos3213_sppcalc15_na2954_ips14_ma13
312,76,13,13,20,10,3,7,heatmap_np312_pos4278_sppcalc13_na76_ips13_ma10
11,7424,32,17,20,10,3,7,heatmap_np11_pos357_sppcalc32_na7424_ips17_ma10
373,8654,1,18,20,8,3,5,heatmap_np373_pos556_sppcalc1_na8654_ips18_ma8
97,5632,2,6,20,51,3,40,heatmap_np97_pos275_sppcalc2_na5632_ips6_ma51
356,9585,3,6,20,24,3,21,heatmap_np356_pos1203_sppcalc3_na9585_ips6_ma24
39,9633,48,18,20,11,3,8,heatmap_np39_pos1878_sppcalc48_na9633_ips18_ma11
230,115,9,6,20,14,3,11,heatmap_np230_pos2272_sppcalc9_na115_ips6_ma14
153,6451,27,5,20,48,3,40,heatmap_np153_pos4183_sppcalc27_na6451_ips5_ma48
116,8448,28,17,20,38,3,35,heatmap_np116_pos3274_sppcalc28_na8448_ips17_ma38
41,9797,16,5,20,30,3,27,heatmap_np41_pos675_sppcalc16_na9797_ips5_ma30
70,7440,20,17,20,27,3,24,heatmap_np70_pos1428_sppcalc20_na7440_ips17_ma27
143,4453,18,19,20,64,3,40,heatmap_np143_pos2707_sppcalc18_na4453_ips19_ma64
399,7539,4,20,20,35,3,32,heatmap_np399_pos1897_sppcalc4_na7539_ips20_ma35
397,7776,10,9,20,14,3,11,heatmap_np397_pos4236_sppcalc10_na7776_ips9_ma14
275,1297,17,5,20,5,3,3,heatmap_np275_pos4842_sppcalc17_na1297_ips5_ma5
395,1095,2,19,20,56,3,40,heatmap_np395_pos906_sppcalc2_na1095_ips19_ma56
377,2685,12,10,20,48,3,40,heatmap_np377_pos4705_sppcalc12_na2685_ips10_ma48
137,5352,14,12,20,60,3,40,heatmap_np137_pos1983_sppcalc14_na5352_ips12_ma60
25,4427,140,18,20,25,3,22,heatmap_np25_pos3508_sppcalc140_na4427_ips18_ma25
207,8168,18,9,20,10,3,7,heatmap_np207_pos3802_sppcalc18_na8168_ips9_ma10
185,991,5,13,20,45,3,40,heatmap_np185_pos985_sppcalc5_na991_ips13_ma45
309,3088,2,10,20,43,3,40,heatmap_np309_pos693_sppcalc2_na3088_ips10_ma43
64,4576,74,11,20,34,3,31,heatmap_np64_pos4738_sppcalc74_na4576_ips11_ma34
163,8537,23,16,20,20,3,17,heatmap_np163_pos3899_sppcalc23_na8537_ips16_ma20
216,7823,6,7,20,9,3,6,heatmap_np216_pos1313_sppcalc6_na7823_ips7_ma9
308,9510,6,11,20,58,3,40,heatmap_np308_pos1910_sppcalc6_na9510_ips11_ma58
218,7644,18,17,20,56,3,40,heatmap_np218_pos4083_sppcalc18_na7644_ips17_ma56
321,287,13,11,20,36,3,33,heatmap_np321_pos4225_sppcalc13_na287_ips11_ma36
98,5214,18,17,20,69,3,40,heatmap_np98_pos1791_sppcalc18_na5214_ips17_ma69
98,5058,30,7,20,10,3,7,heatmap_np98_pos3018_sppcalc30_na5058_ips7_ma10
72,6083,48,7,20,60,3,40,heatmap_np72_pos3476_sppcalc48_na6083_ips7_ma60
147,6069,16,15,20,19,3,16,heatmap_np147_pos2466_sppcalc16_na6069_ips15_ma19
103,2427,21,12,20,57,3,40,heatmap_np103_pos2176_sppcalc21_na2427_ips12_ma57
217,7397,8,6,20,15,3,12,heatmap_np217_pos1771_sppcalc8_na7397_ips6_ma15
98,5548,39,7,20,41,3,38,heatmap_np98_pos3874_sppcalc39_na5548_ips7_ma41
356,2900,1,8,20,32,3,29,heatmap_np356_pos618_sppcalc1_na2900_ips8_ma32
252,5978,19,12,20,56,3,40,heatmap_np252_pos4980_sppcalc19_na5978_ips12_ma56
271,8178,9,18,20,64,3,40,heatmap_np271_pos2564_sppcalc9_na8178_ips18_ma64
317,5397,15,9,20,16,3,13,heatmap_np317_pos4875_sppcalc15_na5397_ips9_ma16
281,5924,5,18,20,51,3,40,heatmap_np281_pos1503_sppcalc5_na5924_ips18_ma51
159,1169,18,12,20,61,3,40,heatmap_np159_pos2869_sppcalc18_na1169_ips12_ma61
390,8381,8,13,20,45,3,40,heatmap_np390_pos3403_sppcalc8_na8381_ips13_ma45
331,4052,6,14,20,50,3,40,heatmap_np331_pos2106_sppcalc6_na4052_ips14_ma50
67,1052,69,18,20,55,3,40,heatmap_np67_pos4651_sppcalc69_na1052_ips18_ma55
129,9573,3,14,20,5,3,3,heatmap_np129_pos421_sppcalc3_na9573_ips14_ma5
282,67,6,7,20,66,3,40,heatmap_np282_pos1780_sppcalc6_na67_ips7_ma66
80,9508,19,14,20,22,3,19,heatmap_np80_pos1547_sppcalc19_na9508_ips14_ma22
245,4082,4,6,20,48,3,40,heatmap_np245_pos1082_sppcalc4_na4082_ips6_ma48
185,1214,12,15,20,64,3,40,heatmap_np185_pos2266_sppcalc12_na1214_ips15_ma64
282,875,1,5,20,41,3,38,heatmap_np282_pos563_sppcalc1_na875_ips5_ma41
283,6703,17,11,20,27,3,24,heatmap_np283_pos4907_sppcalc17_na6703_ips11_ma27
370,7438,2,10,20,71,3,40,heatmap_np370_pos789_sppcalc2_na7438_ips10_ma71
74,5859,47,9,20,63,3,40,heatmap_np74_pos3483_sppcalc47_na5859_ips9_ma63
385,3933,4,12,20,33,3,30,heatmap_np385_pos1571_sppcalc4_na3933_ips12_ma33
97,5026,7,6,20,26,3,23,heatmap_np97_pos684_sppcalc7_na5026_ips6_ma26
121,9699,6,9,20,23,3,20,heatmap_np121_pos845_sppcalc6_na9699_ips9_ma23
94,3622,44,5,20,28,3,25,heatmap_np94_pos4147_sppcalc44_na3622_ips5_ma28
25,8207,9,9,20,16,3,13,heatmap_np25_pos227_sppcalc9_na8207_ips9_ma16
56,9792,21,19,20,47,3,40,heatmap_np56_pos1197_sppcalc21_na9792_ips19_ma47
188,8813,20,7,20,26,3,23,heatmap_np188_pos3931_sppcalc20_na8813_ips7_ma26
209,8783,9,15,20,68,3,40,heatmap_np209_pos1934_sppcalc9_na8783_ips15_ma68
147,7400,13,17,20,43,3,40,heatmap_np147_pos1983_sppcalc13_na7400_ips17_ma43
53,8993,45,16,20,50,3,40,heatmap_np53_pos2421_sppcalc45_na8993_ips16_ma50
103,7200,20,8,20,38,3,35,heatmap_np103_pos2091_sppcalc20_na7200_ips8_ma38
155,9319,23,12,20,25,3,22,heatmap_np155_pos3583_sppcalc23_na9319_ips12_ma25
20,4197,232,12,20,15,3,12,heatmap_np20_pos4652_sppcalc232_na4197_ips12_ma15
208,8133,19,10,20,63,3,40,heatmap_np208_pos4157_sppcalc19_na8133_ips10_ma63
82,9548,16,10,20,11,3,8,heatmap_np82_pos1340_sppcalc16_na9548_ips10_ma11
69,7028,16,11,20,21,3,18,heatmap_np69_pos1151_sppcalc16_na7028_ips11_ma21
33,5828,2,6,20,22,3,19,heatmap_np33_pos96_sppcalc2_na5828_ips6_ma22
251,3957,8,19,20,26,3,23,heatmap_np251_pos2226_sppcalc8_na3957_ips19_ma26
329,9096,12,10,20,52,3,40,heatmap_np329_pos4057_sppcalc12_na9096_ips10_ma52
310,4265,15,8,20,44,3,40,heatmap_np310_pos4840_sppcalc15_na4265_ips8_ma44
